"NETFLIXID","COUNTRY","DOWNLOAD","IMAGE","IMDBID","LARGEIMAGE","RATING","RELEASED","RUNTIME","SYNOPSIS","TITLE","TYPE","UNOGSDATE"
"60031203","18","1","https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSDSQIpGV5MPOnCVtiQPdQrejLvWVk3JrRTdQSpca3BpV9DEcRa-dWhEYYoSj40OeCPyCxcNoNHV3NfjLV9sFubeaQ.jpg?r=d48","tt0285823","https://occ-0-2774-2773.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSU85IN80pcUExv5F5DxSPhfJaEBnG36GrzevaLFexxiBRcajdE5PUluVDu1QAt1hPpY0Shmy1di4yZqohT7LkD3qFql.jpg?r=d48","6.4","2003","1h41m","In the outlaw trilogy&#39;s final chapter, the CIA recruits roaming vigilante El Mariachi to take down a corrupt general allied with a powerful drug lord.","Once Upon a Time in Mexico","movie","2019-07-30"
"80210294","18","0","https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXKzNYmcAjd-cvExg4tONW25CWCwDCdC_jg2oW0Fts01kJITNNsUhwhOADYggxvteMdpGmuGq9CaC9_ezPOzH_6R1EbEETiUr25vJ45GzKK3lFtRqxuYNHaw_14.jpg?r=4bf","tt8009622","","6.7","2019","","Reggie&#39;s wild imagination unlocks a weird and wonderful world where she can be herself -- and escape the pressures of growing up.","Twelve Forever","series","2019-07-30"
"80213715","18","0","http://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRDpUYraz5WVj-49GYZXfhvlch3GmWlyrwlOodRqLJBQTHDcmOsHaA1n_Dt9ceQ-obKloeeydsLdpYpAvysYzRfduAc2JfGndQeqUKg2_ti8imUU7fIBu-AEFhg.jpg?r=965","","","","2019","59m","In her fourth stand-up special, Whitney Cummings returns to her hometown of Washington, D.C., and riffs on modern feminism, technology and more.","Whitney Cummings: Can I Touch It?","movie","2019-07-31"
"81065784","18","0","https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfTnZ3HzBsenex-Z-tamQlzr3PMjv2j2SQPTtFATeHHTArNsc9pKNKbYnLkgxlw4P_ipG0YJPdYnimSeu4ugQs-D3g.jpg?r=37d","tt0422774","","4.2","2018","1h26m","When authorities arrest his young son, a taxi driver must convince the courts and rabid media that he&#39;s not the criminal they seek.","Are We Done Yet?","movie","2019-08-01"
"80193514","18","0","https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb4FhTshUPDx36SWtGcrYQyic9HygKP1YiJuK0z8xVY_i4tybAoejMlhKvAi8f2geGCeOrFAZWZeAP1dgOD43WJdTA.jpg?r=d43","tt3163844","https://occ-0-2774-2773.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUOBxAyO2wHREYmfk1j1EA37GSXdUOa5_yiviMBwizVqAiTXJRBGKKJwO3RZe0jyiohIaBX2CARYoLXMdVqWUP7g6OLt.jpg?r=d43","6.5","2013","1h30m","Toma and Index meet a singer named Arisa whose powers are linked to a nearly-complete space elevator and a mysterious accident three years earlier.","A Certain Magical Index: The Movie &#xFF0D;The Miracle of Endymion","movie","2019-08-01"
"70138789","18","1","https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYv8dRB5BolpwhYp1QAFnjKtb9MO9hjP4HAJ9tPNWM5usxcpdBJuk2ifRshNrTcWNeW2-AWTfWvwlCkveiRNZVv1EA.jpg?r=813","tt2359006","https://occ-0-1952-2433.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRnZbhf-l9YmrYg75ke83ivAIcuelhb0j-aZ9TnII4kYSs2U6TAgNI3vBux9vjDaez_uGOG750DYLmDbLUQOPDzhJmtG.jpg?r=813","4.5","2011","1h56m","Led by their skillful staff sergeant, a platoon of gutsy Marines fights to protect all humankind from astonishingly powerful aliens.","Battle: Los Angeles","movie","2019-08-01"
"80124099","18","0","https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABd3mEXd6c74VEkMkMBMWBVSBL9tcAYHpUitPm9eaSE3waEdhEyIvobgz4PbZmKqOmGVDQ1XzgSShyTj-YcqUwHn46A.jpg?r=96d","tt3344680","https://occ-0-1091-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRRYgDqww99SSEudqY20Mxw0ni7kajEYnGMHRidFypF_fcZUkQLhLW6lRe5KcM-XB-xUJ8B05PdtrHINjr7BepoAhc9T.jpg?r=96d","7","2016","1h30m","The fourth film in the action franchise finds Boyka taking on brutal gangsters to protect the widow of a man he unintentionally killed in the ring.","Boyka: Undisputed","movie","2019-08-01"
"281550","18","1","https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABY4bDlKVQy1gPScDwiNnki73kgX4F9DHxLoEfcYFxB61_Gp8LFnlMTZ7SNfM7bJ1s_oaQjITMJYvtZVwcMLYGT02Lw.jpg?r=a6b","tt0093378","","6.9","1987","1h48m","The plane crash that killed Buddy Holly also took Ritchie Valens, whose modest upbringing and rise to fame are depicted in this exhilarating biopic.","La Bamba","movie","2019-08-01"
"80198859","18","0","https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbnMhYBV7tHpdtK03JYGAIBIk4DKE3YYdOGEg4cg16TbZWx-zJisLW-qcz9ZF90zqwgN5wilq-_nPDKMDgwhT5LS_v8TZZpKxocMJf1w4bEaE4vF12EPWkAqXC4.jpg?r=c57","tt9095526","","6.6","2019","1h36m","Thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive.","Mon fr&egrave;re","movie","2019-08-01"
"541018","18","1","https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWwCi2jq30nNBi6Xvz4qGpGLPgExpLhrKPo6oV6x4TqtoF0jl9VU2Qz58EfUJ7UWnP623em6Uo0nDlUBHpN5756bAw.jpg?r=d31","tt0087332","https://occ-0-2774-2773.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW-nrSJ0QfR_nRSZJp-1X3ALSET7UC_6iE1AiaX3QKNJ3mVF_dfLu_xSQeachXwr9bM1sHF3fmoxsEZcku5oWbQkYv91.jpg?r=d31","7.8","1984","1h45m","Parapsychologists create a business exterminating ghouls and hobgoblins -- and end up facing one killer demon in a cellist&#39;s apartment.","Ghostbusters","movie","2019-08-01"
